资源类型,资源名称,夸克网盘
脑机软件(媒体),Adobe系列 2025正式版,https://pan.quark.cn/s/7d6b6ed52eee
脑机软件(媒体),Adobe 2024 合集-Win x64 SP版,https://pan.quark.cn/s/d01b1625cb24
脑机软件(媒体),2023 Adobe 全家桶 解锁版（Mac+Win版）,https://pan.quark.cn/s/17595391cdd1
脑机软件(媒体),Topaz全系列 2024[汉化版],https://pan.quark.cn/s/7cb007f4d57c
脑机软件(媒体),adobe_屏蔽_hosts_(以管理员运行),https://pan.quark.cn/s/6c01fd9e223e
脑机软件(媒体),Adobe各版本大合集,https://pan.quark.cn/s/e26f1b061bb9
脑机软件(媒体),AdobeGenp -Adobe 通用补丁（激活工具）,https://pan.quark.cn/s/b92453ffdc15
脑机软件(图象),CorelDRAW全系列软件 汉化版,https://pan.quark.cn/s/ed4c7a990f5e
脑机软件(图象),图片转换王 v1.0 - 多格式支持,https://pan.quark.cn/s/b9fde66e0233
脑机软件(图象),图压缩工具,https://pan.quark.cn/s/b37392467429
脑机软件(图象),迷你画图,https://pan.quark.cn/s/acc134e62d3e
脑机软件(图象),Ink Canvas - 轻量级 Windows 画板软件,https://pan.quark.cn/s/1308218f3ec7
脑机软件(图象),UcksWatermarkTool - 图片批量加水印工具,https://pan.quark.cn/s/bed176461dfd
脑机软件(图象),FreeVimager  -快速图像查看器和编辑器,https://pan.quark.cn/s/28d3e9e80815
脑机软件(图象),Copicseal - 跨平台图片加水印工具,https://pan.quark.cn/s/06b0caa56149
脑机软件(图象),图片水印工具木木制作,https://pan.quark.cn/s/811628a36cd0
脑机软件(图象),图像分割拼接工具1.4,https://pan.quark.cn/s/3daa519067fa
脑机软件(图象),相片处理软件 FotoSketcher 3.96 x64 中文多语免费版,https://pan.quark.cn/s/54e1c7969141
脑机软件(图象),AutoCAD 2020lite,https://pan.quark.cn/s/36b647224724
脑机软件(图象),Python印章抠图神器：一键去除图片背景，透明印章轻松生成,https://pan.quark.cn/s/9151e4693f65
脑机软件(图象),开源免费图像浏览器 PicView 3.1.3,https://pan.quark.cn/s/ec8757dd0979
脑机软件(图象),CAD DWG文件清理工具,https://pan.quark.cn/s/3be2d6393543
脑机软件(图象),void Image Viewer - 轻量级图像查看器 ,https://pan.quark.cn/s/84215c7491ed
脑机软件(图象),JarkViewer - 高效便捷多格式图片查看器,https://pan.quark.cn/s/9fb1a05b5735
脑机软件(图象),美图秀秀6.52 和谐补丁,https://pan.quark.cn/s/7018d58dbf50
脑机软件(图象),蓝山看图王 1.0.3.21021,https://pan.quark.cn/s/7c1c282757a5
脑机软件(图象),光影魔术手-4.7.1.1157-色完整版,https://pan.quark.cn/s/07b345655bd6
脑机软件(图象),飞思Capture One Pro Enterprise v16.5.9.2795 x64,https://pan.quark.cn/s/2266effb6368
脑机软件(图象),图处理工具_v1.0,https://pan.quark.cn/s/b039120e8bab
脑机软件(图象),图片转ICO图标的工具,https://pan.quark.cn/s/ae014d4f3946
脑机软件(图象),ExcelWPS图片调整工具 V1.1,https://pan.quark.cn/s/f9e75101e383
脑机软件(图象),图像查看器Honeyview 5.53 Build 6273 Portable,https://pan.quark.cn/s/a74b39a767f9
